nom,prix,adresse,image
Paon,250000.0,"Dakar, Sénégal",https://images.coinafrique.com/1691196_uploaded_image1_1582420837.2.png
Coq Orpington Fauve,35000.0,"Louga, Sénégal",https://images.coinafrique.com/1699722_uploaded_image1_1582581938.31.png
Pigeons,65000.0,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/1712742_uploaded_image1_1582798028.37.png
Poussin Orpington,5000.0,"Dakar, Sénégal",https://images.coinafrique.com/1716103_uploaded_image1_1582837127.36.png
Coq,25000.0,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/1723625_uploaded_image2_1582972350.57.png
Lapin Angora,25000.0,"Thies Nord, Thiès, Sénégal",https://images.coinafrique.com/1732205_uploaded_image2_1583152160.49.png
Mâle bantam,20000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/1773437_uploaded_image2_1583858452.61.png
Pigeon texan paon indien,60000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/1804515_uploaded_image2_1584398280.63.png
Pigeon texan - Paon indien,60000.0,"Dakar, Sénégal",https://images.coinafrique.com/1804522_uploaded_image1_1584398352.13.png
Paon indien,30000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/1804679_uploaded_image1_1584402291.56.png
Poulet de chair,2700.0,Sénégal,https://images.coinafrique.com/1804847_uploaded_image1_1584408926.38.png
Cop Brahma,40000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/1812172_uploaded_image2_1584528622.9.png
Pigeon voyageur,13000.0,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/1831098_uploaded_image2_1584866026.28.png
Pigeon voyageur,13000.0,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/1831100_uploaded_image1_1584866055.19.png
Poulet de chair,3000.0,"Rufisque, Sénégal",https://images.coinafrique.com/1842198_uploaded_image2_1585068914.59.png
Pigeons Mondain / boulan,78813.69885433716,"Louga, Sénégal",https://images.coinafrique.com/1856511_uploaded_image1_1585321343.73.png
Poulet de chair,2500.0,"Keur Massar, Sénégal",https://images.coinafrique.com/1888745_uploaded_image1_1585919292.3.png
Pigeon paon,40000.0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/1890068_uploaded_image1_1585932988.65.png
Pigeons Laor,40000.0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/1890181_uploaded_image1_1585934252.04.png
Pigeons King,35000.0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/1890193_uploaded_image1_1585934383.75.png
Coq Orpitone,30000.0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/1890489_uploaded_image1_1585937996.82.png
Poulet,3000.0,"Dakar, Sénégal",https://images.coinafrique.com/1907954_uploaded_image2_1586270049.67.png
Orpington,30000.0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/1913036_uploaded_image1_1586352896.21.png
Lapins,78813.69885433716,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/1913175_uploaded_image1_1586355015.48.png
Poulets,2750.0,"Dakar, Sénégal",https://images.coinafrique.com/1918730_uploaded_image1_1586442251.23.png
Poulets de chairs,2500.0,"Dakar, Sénégal",https://images.coinafrique.com/1934126_uploaded_image1_1586708547.66.png
Poulets,2400.0,"Dakar, Sénégal",https://images.coinafrique.com/1963021_uploaded_image1_1587139946.35.jpeg
Poulets,2400.0,"Dakar, Sénégal",https://images.coinafrique.com/1963033_uploaded_image1_1587140018.16.jpeg
Couple Brahman,78813.69885433716,"Keur Massar, Sénégal",https://images.coinafrique.com/1975396_uploaded_image2_1587342507.59.jpeg
Poulets de chair,2500.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/1988804_uploaded_image2_1587553659.jpeg
Poussins  brahman colombia,78813.69885433716,"Keur Massar, Sénégal",https://images.coinafrique.com/1990096_uploaded_image1_1587571540.jpg
Pigeon,35000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/1992182_uploaded_image1_1587592805.jpg
Couple Laor,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/1995115_uploaded_image1_1587645382.jpg
Pigeons,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/1995134_uploaded_image1_1587645507.jpg
Couple  Laor,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/1995183_uploaded_image1_1587645917.jpg
Couple Laor,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/1995210_uploaded_image1_1587646147.jpg
Oie,35000.0,"Dakar, Sénégal",https://images.coinafrique.com/1997244_uploaded_image1_1587667066.jpg
Poulets,3000.0,"Dakar, Sénégal",https://images.coinafrique.com/2001942_uploaded_image3_1587735662.67.jpeg
Poulets à vendre et oeufs,2200.0,"Keur Massar, Sénégal",https://images.coinafrique.com/2002375_uploaded_image1_1587741273.jpg
Couple Pigeon Cravate,30000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/2082389_uploaded_image2_1588989026.jpeg
Poulet Bleu hollandais,30000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/2106379_uploaded_image2_1592468165.jpeg
Poulet,3000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/2132014_uploaded_image1_1589793253.jpg
Poulet mâle,2200.0,"Keur Massar, Sénégal",https://images.coinafrique.com/2172605_uploaded_image1_1590453736.jpg
Pigeon lavande,35000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/2203490_uploaded_image1_1590929887.jpg
poulet,2500.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/2218341_uploaded_image1_1591159723.jpg
Lapin,15000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/2221308_uploaded_image2_1591193546.jpeg
Lapin,20000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/2221541_uploaded_image2_1591196082.jpeg
Lapins Angora française,15000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/2223516_uploaded_image1_1591222379.jpg
Lapins,15000.0,"Dakar, Sénégal",https://images.coinafrique.com/2229912_uploaded_image1_1591309427.jpg
Poussin brahmane,12500.0,"Dakar, Sénégal",https://images.coinafrique.com/2257183_uploaded_image1_1591743270.jpg
Poussin brahmane,12500.0,"Dakar, Sénégal",https://images.coinafrique.com/2257189_uploaded_image1_1591743386.jpg
Jeunes mâles brahman,78813.69885433716,"Keur Massar, Sénégal",https://images.coinafrique.com/2258568_uploaded_image1_1591778766.jpg
Couple bramane productrice,65000.0,"Rufisque, Sénégal",https://images.coinafrique.com/2263150_uploaded_image1_1591826889.jpg
Culbita rakovni,40000.0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/2270078_uploaded_image1_1591913628.5.jpeg
Cochin coucou,40000.0,"Dakar, Sénégal",https://images.coinafrique.com/2283626_uploaded_image1_1592152112.jpg
Cochin,40000.0,"Dakar, Sénégal",https://images.coinafrique.com/2283654_uploaded_image1_1592152413.jpg
Poulet,40000.0,"Dakar, Sénégal",https://images.coinafrique.com/2284393_uploaded_image1_1592163359.jpg
Lapin - lapereaux,20000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/2297368_uploaded_image2_1592352690.jpeg
Pigeons,60000.0,"Dakar, Sénégal",https://images.coinafrique.com/2321099_uploaded_image1_1592725966.jpg
Paon - pigeon,35000.0,"Dakar, Sénégal",https://images.coinafrique.com/2323541_uploaded_image1_1592764212.jpg
Poules bleu Hollande,2000.0,"Diourbel, Sénégal",https://images.coinafrique.com/2336310_uploaded_image1_1592955606.jpg
Lapins,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/2349641_uploaded_image1_1593167061.jpg
Poule de race,15000.0,"Dakar, Sénégal",https://images.coinafrique.com/2351149_uploaded_image1_1593181470.jpg
Colvert,25000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/2373373_uploaded_image1_1593556758.jpg
Poussins Brahman,78813.69885433716,"Keur Massar, Sénégal",https://images.coinafrique.com/2397001_uploaded_image2_1593963656.jpeg
Poussin brahmane,12500.0,"Dakar, Sénégal",https://images.coinafrique.com/2421069_uploaded_image1_1594340902.jpg
Pigeons,40000.0,"Mbour, Sénégal",https://images.coinafrique.com/2421679_uploaded_image1_1594369562.jpg
Lapins,20000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/2429419_uploaded_image2_1607288946.jpeg
Poulet,3000.0,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/2450669_uploaded_image1_1594987392.jpg
Poussîns,480.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/2455108_uploaded_image1_1595083998.jpg
Pigeon voyageur,78813.69885433716,"Dakar, Sénégal",https://images.coinafrique.com/2463056_uploaded_image1_1595273844.jpg
Pigeon boulant de pomerani mâle,50000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/2499730_uploaded_image1_1596141952.jpg
Lapin femelle,25000.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/2501399_uploaded_image1_1596221963.jpg
Pigeon voyageur,7000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/2505095_uploaded_image1_1596378141.jpg
Pigeon voyageur,7000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/2507523_uploaded_image1_1596456276.jpg
Paons,5000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/2511822_uploaded_image1_1596551448.jpg
Poussins brahman colombia,78813.69885433716,"Keur Massar, Sénégal",https://images.coinafrique.com/2513890_uploaded_image1_1596608950.jpg
Pigeon allemand,50000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/2516109_uploaded_image1_1596644250.jpg
Poulet - oeuf,78813.69885433716,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/2516606_uploaded_image1_1596653482.jpg
