web-scraper-order,web-scraper-start-url,chien_selector,chien_selector-href,nom,prix,image,adresse
"1739037059-17","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/pitbull-1139092","Pitbull","90 000 CFA","background-image: url(""https://images.coinafrique.com/thumb_1139092_uploaded_image1_1572580780.65.png""); width: 373px;","Dakar Plateau, Dakar, Sénégal"
"1739037069-18","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-de-race-pure-1148739","Chiots Berger Allemand de race pure","125 000 CFA","background-image: url(""https://images.coinafrique.com/1148739_uploaded_image2_1572796180.58.png""); width: 416px;","Grand Yoff, Dakar, Sénégal"
"1739037078-19","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/berger-blanc-1163882","Berger blanc","200 000 CFA","background-image: url(""https://images.coinafrique.com/1163882_uploaded_image1_1577060329.24.png""); width: 449px;","Thies, Sénégal"
"1739037087-20","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/bichons-malte-1176190","Bichons malté","180 000 CFA","background-image: url(""https://images.coinafrique.com/1176190_uploaded_image2_1573296965.03.png""); width: 389px;","Cambérène, Dakar, Sénégal"
"1739037096-21","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/bergers-labrador-pitbull-rottweiler-1184876","Bergers - labrador - pitbull - rottweiler","Prix sur demande","background-image: url(""https://images.coinafrique.com/1184876_uploaded_image2_1573492032.86.png""); width: 369px;","Sicap Liberté, Dakar, Sénégal"
"1739037105-22","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/bichon-maltais-1208713","Bichon maltais","170 000 CFA","background-image: url(""https://images.coinafrique.com/1208713_uploaded_image1_1573923517.79.png""); width: 411px;","Dakar, Sénégal"
"1739037114-23","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-1279844","Chiots Cane Corso","500 000 CFA","background-image: url(""https://images.coinafrique.com/1279844_uploaded_image2_1575227437.71.png""); width: 369px;","Dakar, Sénégal"
"1739037124-24","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chien-pitbull-1339794","Chien Pitbull","150 000 CFA","background-image: url(""https://images.coinafrique.com/1339794_uploaded_image2_1576322961.73.png""); width: 432px;","Dieuppeul-Derklé, Dakar, Sénégal"
"1739037135-25","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-shih-tzu-1381280","Chiots Shih-Tzu","250 000 CFA","background-image: url(""https://images.coinafrique.com/1381280_uploaded_image2_1577118817.92.png""); width: 444px;","Point E, Dakar, Sénégal"
"1739037144-26","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-1387279","Chiot Berger Allemand","350 000 CFA","background-image: url(""https://images.coinafrique.com/1387279_uploaded_image1_1577244796.5.png""); width: 418px;","Parcelle Assainies, Dakar, Sénégal"
"1739037153-27","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-dalmatiens-1396092","Chiots Dalmatiens","450 000 CFA","background-image: url(""https://images.coinafrique.com/1396092_uploaded_image2_1577444314.03.png""); width: 488px;","Fann, Dakar, Sénégal"
"1739037162-28","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/bebe-lhasa-apso-1426072","Bebé Lhasa Apso","Prix sur demande","background-image: url(""https://images.coinafrique.com/1426072_uploaded_image1_1578142225.59.png""); width: 548px;","Mbour, Sénégal"
"1739037170-29","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-chowchow-1444195","Chiots Chowchow","990 000 CFA","background-image: url(""https://images.coinafrique.com/1444195_uploaded_image2_1578452520.28.png""); width: 488px;","Fann, Dakar, Sénégal"
