nom,prix,adresse,image
Oies de toulouse,20000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3496368_uploaded_image2_1640341893.jpeg)
Paon,350000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3500261_uploaded_image1_1640699224.jpg)
Hamster,15000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3502571_uploaded_image1_1640864798.jpg)
Bœufs,300000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3509381_uploaded_image1_1641354659.jpg)
Chat persan chinchilla,303046.95945945947,"Fann-Point E-Amitié, Dakar, Sénégal",https://images.coinafrique.com/thumb_3515163_uploaded_image1_1641642618.jpg)
Cheval,303046.95945945947,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3515231_uploaded_image1_1641645085.jpg)
Cochon dinde,45000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_3520065_uploaded_image1_1641924846.jpg)
Cochon dinde,45000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_3520078_uploaded_image1_1641925243.jpg)
Cochon dinde,45000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_3520084_uploaded_image1_1641925340.jpg)
Bouc Espagnol,150000.0,"Louga, Sénégal",https://images.coinafrique.com/thumb_3523752_uploaded_image1_1642113362.jpg)
Hamsters,15000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3525591_uploaded_image1_1642246209.jpg)
Jeune cheval,303046.95945945947,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3526170_uploaded_image1_1642274663.jpg)
Bœufs,900000.0,"Bambey, Sénégal",https://images.coinafrique.com/thumb_3544114_uploaded_image1_1643467299.jpg)
Cheval,500000.0,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_3569117_uploaded_image1_1644951974.jpg)
Poussins  d’oies,35000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3569402_uploaded_image1_1644969388.jpg)
Dinde mâle,20000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3575899_uploaded_image1_1645394898.jpg)
Poussin caille,500.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3576048_uploaded_image1_1645409801.jpg)
Caille,8000.0,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_3607957_uploaded_image1_1647266236.jpg)
Chatons,400000.0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_3613416_uploaded_image1_1647551529.jpg)
Hamster,15000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3615764_uploaded_image1_1647715657.jpg)
Chaton Angora,130000.0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_3634435_uploaded_image1_1648913898.jpg)
Boeuf,303046.95945945947,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3645462_uploaded_image1_1649458078.jpg)
Boeuf,303046.95945945947,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3645463_uploaded_image1_1649458129.jpg)
Boeufs,900000.0,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3651241_uploaded_image1_1649808275.jpg)
Chaton siamois,375000.0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_3671821_uploaded_image1_1651072649.jpg)
Perroquet grand Haras,303046.95945945947,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3672216_uploaded_image2_1651097217.jpeg)
Caille,2000.0,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_3679001_uploaded_image1_1651592167.jpg)
Chaton Angora,160000.0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_3681874_uploaded_image1_1651750026.jpg)
Hamster,15000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3689324_uploaded_image1_1652181532.jpg)
Boeuf,303046.95945945947,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3691179_uploaded_image1_1652274956.jpg)
Perruches ondulées,12000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3693176_uploaded_image1_1652374886.jpg)
Oie,65000.0,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3719072_uploaded_image1_1654007070.jpg)
Vache,303046.95945945947,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3734952_uploaded_image1_1654795966.jpg)
Couple cochons d'inde,25000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3738425_uploaded_image1_1655026461.jpg)
Oiseaux exotiques,303046.95945945947,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3773129_uploaded_image1_1657027947.jpg)
Hamster,15000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3780966_uploaded_image1_1657566627.jpg)
Veau,300000.0,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3784229_uploaded_image1_1657796861.jpg)
Cailles,100.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3797181_uploaded_image1_1658618385.jpg)
Vache,303046.95945945947,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3798116_uploaded_image1_1658707333.jpg)
Peruche ondulée,10000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3803986_uploaded_image1_1659036881.jpg)
Vache,1000000.0,"Bambey, Sénégal",https://images.coinafrique.com/thumb_3804681_uploaded_image1_1659094431.jpg)
Hamster dorée,15000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3814562_uploaded_image1_1659613355.jpg)
Bœuf,750000.0,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3817866_uploaded_image1_1659784836.jpg)
Bœuf,303046.95945945947,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3819174_uploaded_image1_1659877769.jpg)
Vache,65000.0,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3850590_uploaded_image1_1661716395.jpg)
Cobaye mâle,16000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_3868453_uploaded_image1_1662603701.jpg)
Œufs,9000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3862604_uploaded_image1_1662310160.jpg)
Paon,50000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3901686_uploaded_image1_1664658095.jpg)
Cailles,2500.0,"Ziguinchor, Sénégal",https://images.coinafrique.com/thumb_3905361_uploaded_image1_1664880986.jpg)
Chaton Scottish Fold,303046.95945945947,"Fann-Point E-Amitié, Dakar, Sénégal",https://images.coinafrique.com/thumb_3915043_uploaded_image1_1665477189.jpg)
Paons bleus,400000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3916692_uploaded_image1_1665568760.jpg)
Bœuf,700000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3916720_uploaded_image1_1665569801.jpg)
Anes,500000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3916725_uploaded_image1_1665569939.jpg)
Paon,450000.0,"Touba, Sénégal",https://images.coinafrique.com/thumb_3956247_uploaded_image2_1667916424.jpeg)
Perruches ondulées,12000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3968286_uploaded_image1_1668632770.jpg)
Chèvre,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3985611_uploaded_image1_1669761997.jpg)
Bœufs,600000.0,"Bambey, Sénégal",https://images.coinafrique.com/thumb_3991901_uploaded_image1_1670076562.jpg)
Bœufs,600000.0,"Bambey, Sénégal",https://images.coinafrique.com/thumb_4001249_uploaded_image1_1670577657.jpg)
Chat persan hymalayen,350000.0,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4002094_uploaded_image1_1670612752.jpg)
Chaton Persan,400000.0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4004300_uploaded_image1_1670782309.jpg)
Boeuf,303046.95945945947,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4047285_uploaded_image1_1673554118.jpg)
Dindons,175000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4056115_uploaded_image1_1674103633.jpg)
Canards,20000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4056116_uploaded_image1_1674103896.jpg)
