nom,prix,image,adresse
Caniches,171998628018409.84,https://images.coinafrique.com/1840583_uploaded_image1_1585048857.01.png,"Dakar, Sénégal"
Chiots Spitz nain pomeranian,171998628018409.84,https://images.coinafrique.com/1862107_uploaded_image2_1585455904.91.png,"Fann, Dakar, Sénégal"
Chiots Shiba inu,171998628018409.84,https://images.coinafrique.com/1862112_uploaded_image2_1585456241.99.png,"Fann, Dakar, Sénégal"
Chiots pékinois pure race,171998628018409.84,https://images.coinafrique.com/1862142_uploaded_image2_1585459853.61.png,"Fann, Dakar, Sénégal"
Chiots Dogue allemand,171998628018409.84,https://images.coinafrique.com/1862148_uploaded_image2_1585459981.68.png,"Fann, Dakar, Sénégal"
Femelle dogue de Bordeaux,171998628018409.84,https://images.coinafrique.com/1862155_uploaded_image2_1585460204.22.png,"Fann, Dakar, Sénégal"
Bulldog anglais,171998628018409.84,https://images.coinafrique.com/1862159_uploaded_image2_1585460333.29.png,"Fann, Dakar, Sénégal"
Labrador,200000.0,https://images.coinafrique.com/1869479_uploaded_image2_1585587706.8.png,"Yoff, Dakar, Sénégal"
Métisse chiots rottweiler,50000.0,https://images.coinafrique.com/thumb_1890049_uploaded_image1_1585932795.82.png,"Mermoz-Sacré-Cœur, Dakar, Sénégal"
Chiens Malinois,300000.0,https://images.coinafrique.com/1904735_uploaded_image2_1586389817.14.png,"Dakar Plateau, Dakar, Sénégal"
Chiot boxer,171998628018409.84,https://images.coinafrique.com/1935386_uploaded_image2_1586726128.81.png,"Fann, Dakar, Sénégal"
Chiots Labrador,171998628018409.84,https://images.coinafrique.com/1935397_uploaded_image2_1586726397.99.png,"Fann, Dakar, Sénégal"
Chien,400000.0,https://images.coinafrique.com/1940062_uploaded_image2_1586802061.26.png,"Dakar, Sénégal"
Chien,400000.0,https://images.coinafrique.com/1940073_uploaded_image2_1586802160.21.png,"Dakar, Sénégal"
CHiots Pitbull,90000.0,https://images.coinafrique.com/1959031_uploaded_image2_1587075774.26.jpeg,"Mermoz-Sacré-Cœur, Dakar, Sénégal"
Femelles  métisse rock / 4 chiennes,50000.0,https://images.coinafrique.com/thumb_1984265_uploaded_image1_1587479748.47.jpeg,"Mermoz-Sacré-Cœur, Dakar, Sénégal"
Chiot Chowchow,171998628018409.84,https://images.coinafrique.com/2047517_uploaded_image2_1588470753.jpeg,"Fann, Dakar, Sénégal"
Chiot Berger Allemand,250000.0,https://images.coinafrique.com/thumb_2062558_uploaded_image1_1588702072.jpg,"Mermoz-Sacré Coeur, Dakar, Sénégal"
Chiot Can Corso,300000.0,https://images.coinafrique.com/thumb_2062566_uploaded_image1_1588702172.jpg,"Mermoz-Sacré Coeur, Dakar, Sénégal"
Berger malinois charboné,300000.0,https://images.coinafrique.com/thumb_2063869_uploaded_image1_1588722042.jpg,"Mermoz-Sacré Coeur, Dakar, Sénégal"
Chiots Berger Amstaff,130000.0,https://images.coinafrique.com/2082208_uploaded_image2_1588983813.jpeg,"Dakar, Sénégal"
Chiots Yorkshire/caniche,200000.0,https://images.coinafrique.com/2107633_uploaded_image2_1589392557.jpeg,"Dakar, Sénégal"
Chiots rockweile,290000.0,https://images.coinafrique.com/2119461_uploaded_image2_1589565559.jpeg,"Mermoz-Sacré-Cœur, Dakar, Sénégal"
Chiots Rottweiler,300000.0,https://images.coinafrique.com/2151223_uploaded_image2_1590064972.jpeg,"Dakar, Sénégal"
Chiot Yorkie_Chon,300000.0,https://images.coinafrique.com/2151616_uploaded_image2_1592169343.jpeg,"Yoff, Dakar, Sénégal"
Chiot chowchow,171998628018409.84,https://images.coinafrique.com/2155097_uploaded_image2_1590127309.jpeg,"Fann, Dakar, Sénégal"
Bichons,350000.0,https://images.coinafrique.com/thumb_2181152_uploaded_image1_1590585289.jpg,"Ngor, Dakar, Sénégal"
Chien,65000.0,https://images.coinafrique.com/thumb_2209275_uploaded_image1_1591023390.jpg,"Gibraltar, Dakar, Sénégal"
Berger blanc suisse,150000.0,https://images.coinafrique.com/2211811_uploaded_image2_1591059037.jpeg,"Saint Louis, Sénégal"
Berger allemand pure sang,150000.0,https://images.coinafrique.com/2217466_uploaded_image2_1591135620.jpeg,"Point E, Dakar, Sénégal"
Berger allemand pur sang,150000.0,https://images.coinafrique.com/2217470_uploaded_image2_1591135735.jpeg,"Point E, Dakar, Sénégal"
Chiots berger allemand,175000.0,https://images.coinafrique.com/2230488_uploaded_image2_1591320629.jpeg,"Guediawaye, Dakar, Sénégal"
